rm_id,order_id,time,activity,rm_inventory,fg_inventory,order_queue_size
0.0,0.0,0.0,init,300,0,0
0.0,0.0,0.0,start simulation,300,0,0
,,0.0,inventory report,300,0,0
,1.0,0.09147051418813695,order process started,290,9,0
,1.0,0.09147051418813695,order placed,290,9,1
,1.0,0.09147051418813695,fulfillment - begin loading,290,8,0
,1.0,0.2059032303831448,fulfillment - finish loading,290,8,0
,2.0,0.21142648660720148,order process started,290,8,0
,2.0,0.21142648660720148,order placed,290,8,1
,2.0,0.21142648660720148,fulfillment - begin loading,290,7,0
,3.0,0.2897832068131707,order process started,290,7,0
,3.0,0.2897832068131707,order placed,290,7,1
,2.0,0.3042462428593924,fulfillment - finish loading,290,7,1
,3.0,0.3042462428593924,fulfillment - begin loading,290,6,0
,4.0,0.36662777746535863,order process started,290,6,0
,4.0,0.36662777746535863,order placed,290,6,1
,3.0,0.4019499443948143,fulfillment - finish loading,290,6,1
,4.0,0.4019499443948143,fulfillment - begin loading,290,5,0
,4.0,0.47167315348038513,fulfillment - finish loading,290,5,0
,5.0,0.5485353013196383,order process started,290,5,0
,5.0,0.5485353013196383,order placed,290,5,1
,5.0,0.5485353013196383,fulfillment - begin loading,290,4,0
,5.0,0.622937428368358,fulfillment - finish loading,290,4,0
,6.0,0.7065938776935129,order process started,290,4,0
,6.0,0.7065938776935129,order placed,290,4,1
,6.0,0.7065938776935129,fulfillment - begin loading,290,3,0
,6.0,0.7861476195482966,fulfillment - finish loading,290,3,0
,7.0,0.8104650392245011,order process started,290,3,0
,7.0,0.8104650392245011,order placed,290,3,1
,7.0,0.8104650392245011,fulfillment - begin loading,290,2,0
,7.0,0.8855914298675986,fulfillment - finish loading,290,2,0
,8.0,0.9222044622590928,order process started,290,2,0
,8.0,0.9222044622590928,order placed,290,2,1
,8.0,0.9222044622590928,fulfillment - begin loading,290,1,0
,,1.0,inventory report,290,1,0
,,1.0,Finished goods production completion,290,1,0
,8.0,1.0122789343502285,fulfillment - finish loading,280,9,0
,9.0,1.0542470692429193,order process started,280,9,0
,9.0,1.0542470692429193,order placed,280,9,1
,9.0,1.0542470692429193,fulfillment - begin loading,280,8,0
,9.0,1.1643917722930976,fulfillment - finish loading,280,8,0
,10.0,1.2061818499256811,order process started,280,8,0
,10.0,1.2061818499256811,order placed,280,8,1
,10.0,1.2061818499256811,fulfillment - begin loading,280,7,0
,10.0,1.309779331140756,fulfillment - finish loading,280,7,0
,11.0,1.3481480731583062,order process started,280,7,0
,11.0,1.3481480731583062,order placed,280,7,1
,11.0,1.3481480731583062,fulfillment - begin loading,280,6,0
,12.0,1.3941388602786287,order process started,280,6,0
,12.0,1.3941388602786287,order placed,280,6,1
,11.0,1.4509798713393265,fulfillment - finish loading,280,6,1
,12.0,1.4509798713393265,fulfillment - begin loading,280,5,0
,13.0,1.505596845004967,order process started,280,5,0
,13.0,1.505596845004967,order placed,280,5,1
,12.0,1.5512730024415686,fulfillment - finish loading,280,5,1
,13.0,1.5512730024415686,fulfillment - begin loading,280,4,0
,14.0,1.615134881627272,order process started,280,4,0
,14.0,1.615134881627272,order placed,280,4,1
,13.0,1.629947686052653,fulfillment - finish loading,280,4,1
,14.0,1.629947686052653,fulfillment - begin loading,280,3,0
,14.0,1.686833950600173,fulfillment - finish loading,280,3,0
,15.0,1.7715064164258323,order process started,280,3,0
,15.0,1.7715064164258323,order placed,280,3,1
,15.0,1.7715064164258323,fulfillment - begin loading,280,2,0
,15.0,1.8437756280584583,fulfillment - finish loading,280,2,0
,16.0,1.9084409722838152,order process started,280,2,0
,16.0,1.9084409722838152,order placed,280,2,1
,16.0,1.9084409722838152,fulfillment - begin loading,280,1,0
,17.0,1.925039417714632,order process started,280,1,0
,17.0,1.925039417714632,order placed,280,1,1
,16.0,1.9827406045071145,fulfillment - finish loading,280,1,1
,17.0,1.9827406045071145,fulfillment - begin loading,280,0,0
,,2.0,inventory report,280,0,0
,,2.0,Finished goods production completion,280,0,0
,18.0,2.0095459786671213,order process started,270,10,0
,18.0,2.0095459786671213,order placed,270,10,1
,17.0,2.056087343311759,fulfillment - finish loading,270,10,1
,18.0,2.056087343311759,fulfillment - begin loading,270,9,0
,18.0,2.1104917422288554,fulfillment - finish loading,270,9,0
,19.0,2.1790886998973242,order process started,270,9,0
,19.0,2.1790886998973242,order placed,270,9,1
,19.0,2.1790886998973242,fulfillment - begin loading,270,8,0
,19.0,2.242066819340902,fulfillment - finish loading,270,8,0
,20.0,2.260814960904175,order process started,270,8,0
,20.0,2.260814960904175,order placed,270,8,1
,20.0,2.260814960904175,fulfillment - begin loading,270,7,0
,20.0,2.333750748323764,fulfillment - finish loading,270,7,0
,21.0,2.338325734007439,order process started,270,7,0
,21.0,2.338325734007439,order placed,270,7,1
,21.0,2.338325734007439,fulfillment - begin loading,270,6,0
,21.0,2.425120722221758,fulfillment - finish loading,270,6,0
,22.0,2.4582001094412846,order process started,270,6,0
,22.0,2.4582001094412846,order placed,270,6,1
,22.0,2.4582001094412846,fulfillment - begin loading,270,5,0
,22.0,2.5624051537117345,fulfillment - finish loading,270,5,0
,23.0,2.658200109441285,order process started,270,5,0
,23.0,2.658200109441285,order placed,270,5,1
,23.0,2.658200109441285,fulfillment - begin loading,270,4,0
,24.0,2.715648962593135,order process started,270,4,0
,24.0,2.715648962593135,order placed,270,4,1
,23.0,2.7432833470397866,fulfillment - finish loading,270,4,1
,24.0,2.7432833470397866,fulfillment - begin loading,270,3,0
,25.0,2.7916036582997696,order process started,270,3,0
,25.0,2.7916036582997696,order placed,270,3,1
,24.0,2.7947725115387043,fulfillment - finish loading,270,3,1
